# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 15:26:43+0200
# parameter filename: "TOV_90_controlres.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
# Run ID: run-TOV_90_controlres-libaas504-p028.laboratori.local-o.rossi-2023.07.10-13.26.38-34751
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
20480 20 1664.33828598941 1645.29126628444 47.9913620948792 43.2604360580444 41.8723435401917 0 6.17677712440491 120 221290.418505152 221290.418505152 9573120 9573120 108648.003309388 108648.003309388 4700160 4700160 375.877271729806 997394.753007361 11824.935543719 985569.817463642 2364 6535274 72554 6462720 0 0 0 0 47.5588316917419 1688995646.67947 25826
20992 20.5 1638.63527280451 1644.59323519211 49.768404006958 45.0374779701233 43.5801653862 0 6.19069457054138 123 217872.945872087 217872.945872087 9812448 9812448 106970.110608678 106970.110608678 4817664 4817664 385.570134932469 1056281.01962223 11925.6875053987 1044355.33211683 2390 6536723 74003 6462720 0 0 0 0 49.3256855010986 1688995648.45651 26465
21504 21 1648.37278480859 1644.48900741354 50.5943379402161 45.8634119033813 44.3922019004822 0 6.20457720756531 126 219167.64546815 219167.64546815 10051776 10051776 107605.775392305 107605.775392305 4935168 4935168 388.898273844295 1054154.56193065 12139.366101881 1042015.19582877 2416 6538205 75485 6462720 0 0 0 0 50.1317293643951 1688995649.28244 27104
22016 21.5 1658.13669198851 1644.5438638768 51.4098279476166 46.6789019107819 45.1946387290955 0 6.21761631965637 129 220465.854566792 220465.854566792 10291104 10291104 108243.16325301 108243.16325301 5052672 5052672 392.264807117186 1052172.31046041 12345.5613823223 1039826.74907809 2442 6539656 76936 6462720 0 0 0 0 50.9366285800934 1688995650.09793 27743
22528 22 1665.7769194477 1644.7838405872 52.2763080596924 47.5453820228577 45.9973907470703 0 6.33602595329285 132 221481.699209766 221481.699209766 10530432 10530432 108741.917301546 108741.917301546 5170176 5170176 401.980130384291 1066500.42779486 12458.8358318947 1054041.59196297 2588 7128666 78426 7050240 0 0 0 0 51.7923011779785 1688995650.96442 28382
23040 22.5 1638.97706441211 1644.13548020849 54.1519958972931 49.4210698604584 47.8051478862762 0 6.3492534160614 135 217918.390484234 217918.390484234 10769760 10769760 106992.422764823 106992.422764823 5287680 5287680 411.227745720327 1123378.56328431 12553.160224052 1110825.40306026 2614 7130119 79879 7050240 0 0 0 0 53.6577708721161 1688995652.8401 29021
23552 23 1646.85105086367 1644.0174423371 55.0086970329285 50.2777709960938 48.6488056182861 0 6.36231160163879 138 218965.315722834 218965.315722834 11009088 11009088 107506.43660038 107506.43660038 5405184 5405184 414.472485164001 1121309.39587764 12762.1675761841 1108547.22830146 2640 7131604 81364 7050240 0 0 0 0 54.50377202034 1688995653.6968 29660
24064 23.5 1620.57568776662 1643.44544206651 56.9345970153809 52.2036709785461 50.5616233348846 0 6.37544775009155 141 215471.74344545 215471.74344545 11248416 11248416 105791.180897405 105791.180897405 5522688 5522688 417.701395526983 1119233.08609124 12961.4531835895 1106271.63290765 2666 7133049 82809 7050240 0 0 0 0 56.4191753864288 1688995655.6227 30299
24576 24 1615.21055848221 1642.59487690779 58.2224040031433 53.4914779663086 51.7859678268433 0 6.49294018745422 144 214758.395855794 214758.395855794 11487744 11487744 105440.945257719 105440.945257719 5640192 5640192 426.944340739144 1132592.13644383 13065.7708235589 1119526.36562027 2812 7722055 84295 7637760 0 0 0 0 57.6956992149353 1688995656.91051 30938
25088 24.5 1598.79535952033 1640.97434172006 59.8974609375 55.1665349006653 53.3939776420593 0 6.5059871673584 147 212575.831001823 212575.831001823 11727072 11727072 104369.361069487 104369.361069487 5757696 5757696 435.766476403007 1187563.90216524 13153.2589712301 1174410.64319401 2838 7723507 85747 7637760 0 0 0 0 59.3612034320831 1688995658.58557 31577
25600 25 1607.02778356292 1640.33743477461 60.7349359989166 56.0040099620819 54.2171204090118 0 6.52028560638428 150 213670.414102525 213670.414102525 11966400 11966400 104906.773710987 104906.773710987 5875200 5875200 438.797317989443 1185181.89007444 13353.7070509955 1171828.18302344 2864 7724994 87234 7637760 0 0 0 0 60.1882429122925 1688995659.42304 32216
26112 25.5 1614.85384120851 1639.83075031263 61.5781760215759 56.8472499847412 55.0468072891235 0 6.53384375572205 153 214710.966727084 214710.966727084 12205728 12205728 105417.658754092 105417.658754092 5992704 5992704 441.867565317564 1182943.31808441 13546.777654793 1169396.54042962 2890 7726445 88685 7637760 0 0 0 0 61.0212697982788 1688995660.26628 32855
26624 26 1620.50450826158 1639.41551379373 62.4907159805298 57.7597899436951 55.8962457180023 0 6.64762282371521 156 215462.27941846 215462.27941846 12445056 12445056 105786.534299316 105786.534299316 6110208 6110208 450.680628114762 1195434.7636983 13644.61380792 1181790.14989038 3036 8315455 90175 8225280 0 0 0 0 61.9233720302582 1688995661.17882 33494
27136 26.5 1604.85844921172 1638.19242679578 64.175420999527 59.4444949626923 57.5171573162079 0 6.66067433357239 159 213381.97940719 213381.97940719 12684384 12684384 104765.159564541 104765.159564541 6227712 6227712 459.27889693843 1249078.34768331 13729.2550051775 1235349.09267813 3062 8316899 91619 8225280 0 0 0 0 63.5978333950043 1688995662.86353 34133
27648 27 1613.19353337099 1637.74884159774 64.984081029892 60.2531549930573 58.3126015663147 0 6.6753044128418 162 214490.212197007 214490.212197007 12923712 12923712 105309.273858458 105309.273858458 6345216 6345216 462.266280940682 1246827.49087558 13925.5468756528 1232901.94399993 3088 8318381 93101 8225280 0 0 0 0 64.3960614204407 1688995663.67219 34772
28160 27.5 1620.0882595114 1637.3882538445 65.8387079238892 61.1077818870544 59.152774810791 0 6.69513630867004 165 215406.934984635 215406.934984635 13163040 13163040 105759.361580904 105759.361580904 6462720 6462720 465.155715349189 1244347.92560239 14111.2688990514 1230236.65670334 3114 8319832 94552 8225280 0 0 0 0 65.2400808334351 1688995664.52681 35411
28672 28 1625.84528981078 1637.12903958976 66.7294449806213 61.9985189437866 59.9729146957397 0 6.80979037284851 168 216172.389733242 216172.389733242 13402368 13402368 106135.180518848 106135.180518848 6580224 6580224 473.023854736708 1254584.91897347 14184.9434486298 1240399.97552484 3260 8908838 96038 8812800 0 0 0 0 66.1202626228333 1688995665.41755 36050
29184 28.5 1610.1376809786 1636.17942412978 68.4521849155426 63.7212588787079 61.6319818496704 0 6.82261991500854 171 214083.906062915 214083.906062915 13641696 13641696 105109.787814283 105109.787814283 6697728 6697728 481.217343281594 1306425.32398858 14264.3846613325 1292160.93932725 3286 8910290 97490 8812800 0 0 0 0 67.8321754932404 1688995667.14029 36689
29696 29 1616.69527434412 1635.84700990497 69.3071029186249 64.5761768817902 62.469874382019 0 6.84074831008911 174 214955.803676794 214955.803676794 13881024 13881024 105537.867509184 105537.867509184 6815232 6815232 483.821768175409 1303390.68707274 14447.3743229646 1288943.31274977 3312 8911778 98978 8812800 0 0 0 0 68.6764330863953 1688995667.99521 37328
30208 29.5 1624.95831009709 1635.62866023548 70.0864489078522 65.3555228710175 63.230443239212 0 6.85849142074585 177 216054.456910509 216054.456910509 14120352 14120352 106077.278483138 106077.278483138 6932736 6932736 486.28897949282 1300031.45136954 14618.2784618203 1285413.17290772 3338 8913229 100429 8812800 0 0 0 0 69.4454751014709 1688995668.77456 37967
30720 30 1629.83142420133 1635.46510255829 70.9954478740692 66.2645218372345 64.0757067203522 0 6.97296547889709 180 216702.386161809 216702.386161809 14359680 14359680 106395.395371863 106395.395371863 7050240 7050240 494.238140419876 1310747.87315244 14699.3937692831 1296048.47938315 3484 9502233 101913 9400320 0 0 0 0 70.3434472084045 1688995669.68355 38606
31232 30.5 1614.28313102574 1634.7132069093 72.748733997345 68.0178079605103 65.7651348114014 0 6.98678302764893 183 214635.085101182 214635.085101182 14599008 14599008 105380.40279336 105380.40279336 7167744 7167744 502.03339376303 1360828.81433521 14772.1822592058 1346056.63207601 3510 9503689 103369 9400320 0 0 0 0 72.0865850448608 1688995671.43684 39245
31744 31 1621.43000761523 1634.48876160545 73.5590589046478 68.8281328678131 66.5617535114288 0 6.99999046325684 186 215585.33381252 215585.33381252 14838336 14838336 105846.950897122 105846.950897122 7285248 7285248 504.765735024631 1358376.61297607 14956.6145993029 1343419.99837677 3536 9505174 104854 9400320 0 0 0 0 72.8865489959717 1688995672.24717 39884
