# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# GRHYDRO::dens (grhydro-dens)
# 1:iteration 2:time 3:data
# data columns: 3:dens
318464 77.75 1.10622166015084e-10
318976 77.875 1.10622166015084e-10
319488 78 1.10622166015084e-10
320000 78.125 1.10622166015084e-10
320512 78.25 1.10622166015084e-10
321024 78.375 1.10622166015084e-10
321536 78.5 1.10622166015084e-10
322048 78.625 1.10622166015084e-10
322560 78.75 1.10622166015084e-10
323072 78.875 1.10622166015084e-10
323584 79 1.10622166015084e-10
324096 79.125 1.10622166015084e-10
324608 79.25 1.10622166015084e-10
325120 79.375 1.10622166015084e-10
325632 79.5 1.10622166015084e-10
326144 79.625 1.10622166015084e-10
326656 79.75 1.10622166015084e-10
327168 79.875 1.10622166015084e-10
327680 80 1.10622166015084e-10
328192 80.125 1.10622166015084e-10
328704 80.25 1.10622166015084e-10
329216 80.375 1.10622166015084e-10
329728 80.5 1.10622166015084e-10
330240 80.625 1.10622166015084e-10
330752 80.75 1.10622166015084e-10
331264 80.875 1.10622166015084e-10
331776 81 1.10622166015084e-10
332288 81.125 1.10622166015084e-10
332800 81.25 1.10622166015084e-10
333312 81.375 1.10622166015084e-10
333824 81.5 1.10622166015084e-10
334336 81.625 1.10622166015084e-10
334848 81.75 1.10622166015084e-10
335360 81.875 1.10622166015084e-10
335872 82 1.10622166015084e-10
336384 82.125 1.10622166015084e-10
336896 82.25 1.10622166015084e-10
337408 82.375 1.10622166015084e-10
337920 82.5 1.10622166015084e-10
338432 82.625 1.10622166015084e-10
338944 82.75 1.10622166015084e-10
339456 82.875 1.10622166015084e-10
339968 83 1.10622166015084e-10
340480 83.125 1.10622166015084e-10
340992 83.25 1.10622166015084e-10
341504 83.375 1.10622166015084e-10
342016 83.5 1.10622166015084e-10
342528 83.625 1.10622166015084e-10
343040 83.75 1.10622166015084e-10
343552 83.875 1.10622166015084e-10
344064 84 1.10622166015084e-10
344576 84.125 1.10622166015084e-10
345088 84.25 1.10622166015084e-10
345600 84.375 1.10622166015084e-10
346112 84.5 1.10622166015084e-10
346624 84.625 1.10622166015084e-10
347136 84.75 1.10622166015084e-10
347648 84.875 1.10622166015084e-10
348160 85 1.10622166015084e-10
348672 85.125 1.10622166015084e-10
349184 85.25 1.10622166015084e-10
349696 85.375 1.10622166015084e-10
350208 85.5 1.10622166015084e-10
350720 85.625 1.10622166015084e-10
351232 85.75 1.10622166015084e-10
351744 85.875 1.10622166015084e-10
352256 86 1.10622166015084e-10
352768 86.125 1.10622166015084e-10
353280 86.25 1.10622166015084e-10
353792 86.375 1.10622166015084e-10
354304 86.5 1.10622166015084e-10
354816 86.625 1.10622166015084e-10
355328 86.75 1.10622166015084e-10
355840 86.875 1.10622166015084e-10
356352 87 1.10622166015084e-10
356864 87.125 1.10622166015084e-10
357376 87.25 1.10622166015084e-10
357888 87.375 1.10622166015084e-10
358400 87.5 1.10622166015084e-10
358912 87.625 1.10622166015084e-10
359424 87.75 1.10622166015084e-10
359936 87.875 1.10622166015084e-10
360448 88 1.10622166015084e-10
360960 88.125 1.10622166015084e-10
361472 88.25 1.10622166015084e-10
361984 88.375 1.10622166015084e-10
362496 88.5 1.10622166015084e-10
363008 88.625 1.10622166015084e-10
363520 88.75 1.10622166015084e-10
364032 88.875 1.10622166015084e-10
364544 89 1.10622166015084e-10
365056 89.125 1.10622166015084e-10
365568 89.25 1.10622166015084e-10
366080 89.375 1.10622166015084e-10
366592 89.5 1.10622166015084e-10
367104 89.625 1.10622166015084e-10
367616 89.75 1.10622166015084e-10
368128 89.875 1.10622166015084e-10
368640 90 1.10622166015084e-10
369152 90.125 1.10622166015084e-10
369664 90.25 1.10622166015084e-10
370176 90.375 1.10622166015084e-10
370688 90.5 1.10622166015084e-10
371200 90.625 1.10622166015084e-10
371712 90.75 1.10622166015084e-10
372224 90.875 1.10622166015084e-10
372736 91 1.10622166015084e-10
373248 91.125 1.10622166015084e-10
373760 91.25 1.10622166015084e-10
374272 91.375 1.10622166015084e-10
374784 91.5 1.10622166015084e-10
375296 91.625 1.10622166015084e-10
375808 91.75 1.10622166015084e-10
376320 91.875 1.10622166015084e-10
376832 92 1.10622166015084e-10
377344 92.125 1.10622166015084e-10
377856 92.25 1.10622166015084e-10
378368 92.375 1.10622166015084e-10
378880 92.5 1.10622166015084e-10
379392 92.625 1.10622166015084e-10
379904 92.75 1.10622166015084e-10
380416 92.875 1.10622166015084e-10
380928 93 1.10622166015084e-10
381440 93.125 1.10622166015084e-10
381952 93.25 1.10622166015084e-10
382464 93.375 1.10622166015084e-10
382976 93.5 1.10622166015084e-10
383488 93.625 1.10622166015084e-10
384000 93.75 1.10622166015084e-10
384512 93.875 1.10622166015084e-10
385024 94 1.10622166015084e-10
385536 94.125 1.10622166015084e-10
386048 94.25 1.10622166015084e-10
386560 94.375 1.10622166015084e-10
387072 94.5 1.10622166015084e-10
387584 94.625 1.10622166015084e-10
388096 94.75 1.10622166015084e-10
388608 94.875 1.10622166015084e-10
389120 95 1.10622166015084e-10
389632 95.125 1.10622166015084e-10
390144 95.25 1.10622166015084e-10
390656 95.375 1.10622166015084e-10
391168 95.5 1.10622166015084e-10
391680 95.625 1.10622166015084e-10
392192 95.75 1.10622166015084e-10
392704 95.875 1.10622166015084e-10
393216 96 1.10622166015084e-10
393728 96.125 1.10622166015084e-10
394240 96.25 1.10622166015084e-10
394752 96.375 1.10622166015084e-10
395264 96.5 1.10622166015084e-10
