# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
1167872 285.125 -0.00176643046362883
1168384 285.25 -0.00176555925225718
1168896 285.375 -0.00176466565396431
1169408 285.5 -0.00176375211570377
1169920 285.625 -0.00176284291130283
1170432 285.75 -0.00176196754531668
1170944 285.875 -0.00176114682808449
1171456 286 -0.0017603746941828
1171968 286.125 -0.00175960847072161
1172480 286.25 -0.00175879702310184
1172992 286.375 -0.00175793624387352
1173504 286.5 -0.00175708616579724
1174016 286.625 -0.00175631671949174
1174528 286.75 -0.00175562800874859
1175040 286.875 -0.00175493828941746
1175552 287 -0.00175416183465056
1176064 287.125 -0.00175329722238997
1176576 287.25 -0.00175243088363355
1177088 287.375 -0.0017516489865812
1177600 287.5 -0.00175094890641973
1178112 287.625 -0.0017502436870179
1178624 287.75 -0.00174945338219035
1179136 287.875 -0.00174858334973258
1179648 288 -0.0017477082246608
1180160 288.125 -0.00174688903152838
1180672 288.25 -0.00174611916903396
1181184 288.375 -0.00174534684584599
1181696 288.5 -0.00174453067932913
1182208 288.625 -0.00174366649271606
1182720 288.75 -0.00174277809009086
1183232 288.875 -0.00174190056346298
1183744 289 -0.0017410640131715
1184256 289.125 -0.00174026938447664
1184768 289.25 -0.00173947596987307
1185280 289.375 -0.0017386340636204
1185792 289.5 -0.0017377435202594
1186304 289.625 -0.00173686514292921
1186816 289.75 -0.00173605592107779
1187328 289.875 -0.00173530181190142
1187840 290 -0.00173453570512175
1188352 290.125 -0.00173371893514954
