# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
118272 28.875 -1.82876813813995e-05 -1.82876973800024e-05 -1.82877029592956e-05
118784 29 -1.92731045715155e-05 -1.92731101203112e-05 -1.92730934585352e-05
119296 29.125 -2.03935663121048e-05 -2.03935826277817e-05 -2.03935869867958e-05
119808 29.25 -2.13940344816259e-05 -2.13940493153233e-05 -2.13940406126636e-05
120320 29.375 -2.23712833999961e-05 -2.23713197903481e-05 -2.23713065733939e-05
120832 29.5 -2.2972221474937e-05 -2.29722385025106e-05 -2.29722524119056e-05
121344 29.625 -2.35125900407862e-05 -2.35125936230706e-05 -2.35125825178979e-05
121856 29.75 -2.3697338624811e-05 -2.36973479086566e-05 -2.36973253241686e-05
122368 29.875 -2.41394649962547e-05 -2.41394724041267e-05 -2.41394777152225e-05
122880 30 -2.43311171126024e-05 -2.43310895492028e-05 -2.43311256216583e-05
123392 30.125 -2.4564137270474e-05 -2.45641685589804e-05 -2.45640834484055e-05
123904 30.25 -2.50286144964445e-05 -2.50286082673576e-05 -2.50286121120484e-05
124416 30.375 -2.59604754085013e-05 -2.59604501677422e-05 -2.59603223718692e-05
124928 30.5 -2.65968471756685e-05 -2.65968251857076e-05 -2.65967090714526e-05
125440 30.625 -2.73436078778624e-05 -2.73435802541368e-05 -2.73436066217939e-05
125952 30.75 -2.76704516050615e-05 -2.7670416055258e-05 -2.76705098358561e-05
126464 30.875 -2.85791802705957e-05 -2.85791347512653e-05 -2.85794330066681e-05
126976 31 -2.90785928970514e-05 -2.90785296632872e-05 -2.90784204949137e-05
127488 31.125 -2.92466751131789e-05 -2.92467047615595e-05 -2.92467361600727e-05
128000 31.25 -2.97215670439981e-05 -2.97214792198662e-05 -2.9721601942279e-05
128512 31.375 -3.06589335491806e-05 -3.06589136141202e-05 -3.06589134070112e-05
129024 31.5 -3.0772633561174e-05 -3.07725902764457e-05 -3.07725897504905e-05
129536 31.625 -3.16515388342592e-05 -3.16515438889699e-05 -3.16514724730479e-05
130048 31.75 -3.25986347531618e-05 -3.25986085020039e-05 -3.25985347652035e-05
130560 31.875 -3.3159782844866e-05 -3.31597855908412e-05 -3.31597931631942e-05
131072 32 -3.42510977338795e-05 -3.42511072096494e-05 -3.42511753658285e-05
131584 32.125 -3.49356848032241e-05 -3.49356940310988e-05 -3.49357832135275e-05
132096 32.25 -3.53847370170115e-05 -3.53847185923738e-05 -3.53847719837551e-05
132608 32.375 -3.63964506456055e-05 -3.63964246611866e-05 -3.63965244877801e-05
133120 32.5 -3.6255586812873e-05 -3.62555695213367e-05 -3.62556571487975e-05
133632 32.625 -3.75439968131764e-05 -3.7544014683999e-05 -3.75440004482076e-05
134144 32.75 -3.8378689609451e-05 -3.83787100384204e-05 -3.83787686360615e-05
134656 32.875 -3.94293879471745e-05 -3.94293865298327e-05 -3.94293531906545e-05
135168 33 -4.06349870072145e-05 -4.0635059299123e-05 -4.06350258307512e-05
135680 33.125 -4.11950493383362e-05 -4.11950698284181e-05 -4.11950160347571e-05
136192 33.25 -4.17616168091255e-05 -4.17615814984396e-05 -4.17615668471451e-05
136704 33.375 -4.25266593868392e-05 -4.25265984373201e-05 -4.25265825967616e-05
137216 33.5 -4.31525625899038e-05 -4.31525847038656e-05 -4.31526104751843e-05
137728 33.625 -4.34378490596515e-05 -4.34377773680042e-05 -4.34377311403609e-05
138240 33.75 -4.47785866524024e-05 -4.47784830987909e-05 -4.47783432801378e-05
138752 33.875 -4.6503119927739e-05 -4.6503044786716e-05 -4.65029109299561e-05
139264 34 -4.74501054555047e-05 -4.74500694283813e-05 -4.74499862674165e-05
139776 34.125 -4.85100370017379e-05 -4.85099852693043e-05 -4.85099366094759e-05
140288 34.25 -4.90922521159783e-05 -4.90922273821061e-05 -4.90921205683127e-05
140800 34.375 -5.02657003752547e-05 -5.02656971189222e-05 -5.02656829895616e-05
141312 34.5 -5.20310294786971e-05 -5.20310087802746e-05 -5.20310221233456e-05
141824 34.625 -5.31614360325761e-05 -5.3161403813893e-05 -5.31613186523902e-05
142336 34.75 -5.61321826707364e-05 -5.61321252541169e-05 -5.61320475922652e-05
142848 34.875 -5.86900117235906e-05 -5.869006069778e-05 -5.86899708959283e-05
143360 35 -5.95798945686348e-05 -5.95798782922589e-05 -5.95798387849626e-05
143872 35.125 -5.92814415169917e-05 -5.92815397028427e-05 -5.92815386244204e-05
144384 35.25 -5.74642228749637e-05 -5.74644300130903e-05 -5.74644715589203e-05
144896 35.375 -5.41725708692286e-05 -5.41728123940777e-05 -5.41728468726639e-05
145408 35.5 -5.55056580727575e-05 -5.55056330553778e-05 -5.55055567621199e-05
145920 35.625 -5.63886125332877e-05 -5.63886293837923e-05 -5.63886608326958e-05
146432 35.75 -5.74067166231091e-05 -5.74066474875267e-05 -5.74066349378645e-05
146944 35.875 -5.92019274240411e-05 -5.92018962945858e-05 -5.9202035641384e-05
147456 36 -6.01571143268557e-05 -6.01571336287666e-05 -6.01570364946471e-05
147968 36.125 -6.31175061779564e-05 -6.31174820072799e-05 -6.31171799472347e-05
148480 36.25 -6.38069618856726e-05 -6.38069204660607e-05 -6.38065585240015e-05
