# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
103936 25.375 2.64236130549545e-05 2.64236228464096e-05 2.64236524146303e-05
104448 25.5 2.69721981239422e-05 2.69722027891862e-05 2.69722017955136e-05
104960 25.625 2.66070311499445e-05 2.66070509774342e-05 2.66070651885652e-05
105472 25.75 2.49794016748599e-05 2.49793981755661e-05 2.49794570842892e-05
105984 25.875 2.47920176967666e-05 2.47919565320402e-05 2.47919362094185e-05
106496 26 2.61957110024769e-05 2.61956090982982e-05 2.61955643377362e-05
107008 26.125 2.68343747668099e-05 2.68343836534358e-05 2.68343646964803e-05
107520 26.25 2.74503991501703e-05 2.74503935761452e-05 2.74503930170637e-05
108032 26.375 2.79586788511677e-05 2.79586681871179e-05 2.79586461934376e-05
108544 26.5 2.81162025384386e-05 2.81162055322699e-05 2.81162049588577e-05
109056 26.625 2.72282102231385e-05 2.72282034946958e-05 2.72282020835974e-05
109568 26.75 2.62045272342339e-05 2.62045914679404e-05 2.62046098031784e-05
110080 26.875 2.72565141527996e-05 2.72565864844546e-05 2.72566173031463e-05
110592 27 2.80263360940161e-05 2.80263859002872e-05 2.80264303653701e-05
111104 27.125 2.89865013644346e-05 2.8986504502174e-05 2.89864989477836e-05
111616 27.25 3.0084950987581e-05 3.00849636345687e-05 3.0084988459648e-05
112128 27.375 3.13400370406979e-05 3.13400409241456e-05 3.13400445446879e-05
112640 27.5 3.15833035645265e-05 3.15833002912061e-05 3.15833022122252e-05
113152 27.625 2.99897315009397e-05 2.99897254715461e-05 2.99897401248154e-05
113664 27.75 2.76522168601556e-05 2.76522840822572e-05 2.76523128018589e-05
114176 27.875 2.82449569896076e-05 2.82450308967876e-05 2.8245049997989e-05
114688 28 2.91185856507026e-05 2.91185801617771e-05 2.91185724903326e-05
115200 28.125 3.0120871474139e-05 3.01208829402232e-05 3.01208357987548e-05
115712 28.25 3.17966924834495e-05 3.17966893843178e-05 3.17966672434703e-05
116224 28.375 3.32945821999382e-05 3.32946163879296e-05 3.3294600783035e-05
116736 28.5 3.41264694766024e-05 3.41265038551384e-05 3.41265225229512e-05
117248 28.625 3.27078596517638e-05 3.27078574497012e-05 3.27078971268435e-05
117760 28.75 3.01670307796864e-05 3.01670951299085e-05 3.01671403784655e-05
118272 28.875 3.08762270478014e-05 3.08762860011447e-05 3.08762962841602e-05
118784 29 3.20043281718107e-05 3.20043276655786e-05 3.20043341791305e-05
119296 29.125 3.28006511103375e-05 3.28006625254668e-05 3.28006746041441e-05
119808 29.25 3.42004301018386e-05 3.42003735519045e-05 3.42003786886445e-05
120320 29.375 3.50245436810684e-05 3.50244934896687e-05 3.50245046636085e-05
120832 29.5 3.47882225974993e-05 3.47881758713648e-05 3.47881636286187e-05
121344 29.625 3.31979448973502e-05 3.31979194298632e-05 3.31979579915369e-05
121856 29.75 3.13556258542093e-05 3.13556253191191e-05 3.13556303289456e-05
122368 29.875 3.26635414715005e-05 3.26635530043054e-05 3.26635627782828e-05
122880 30 3.41032250995667e-05 3.41032471632188e-05 3.41032651120345e-05
123392 30.125 3.42835874531041e-05 3.42835920157676e-05 3.42836250284404e-05
123904 30.25 3.5802642660906e-05 3.58025670483117e-05 3.5802630948387e-05
124416 30.375 3.63390568185599e-05 3.63390226321404e-05 3.63390348699547e-05
124928 30.5 3.63066967892782e-05 3.63066426905038e-05 3.63066393611422e-05
125440 30.625 3.48347984314047e-05 3.48347316240444e-05 3.48347139360533e-05
125952 30.75 3.32650136162355e-05 3.3264973741611e-05 3.32649496685789e-05
126464 30.875 3.330661600146e-05 3.33066594954508e-05 3.33066486583532e-05
126976 31 3.430601611972e-05 3.43060326901124e-05 3.43060437078169e-05
127488 31.125 3.53143286446421e-05 3.53143603558909e-05 3.53143998500535e-05
128000 31.25 3.68089357667986e-05 3.68089546106442e-05 3.68089843516448e-05
128512 31.375 3.76481680125282e-05 3.76482204640707e-05 3.76481860974716e-05
129024 31.5 3.80205503407167e-05 3.80205546704682e-05 3.80205280756579e-05
129536 31.625 3.78604740606195e-05 3.78605026732391e-05 3.78604970059215e-05
130048 31.75 3.72446583403972e-05 3.72445722197638e-05 3.72445272172596e-05
130560 31.875 3.63952827398976e-05 3.63953284737248e-05 3.63953574373472e-05
131072 32 3.61114399264709e-05 3.61114607421617e-05 3.61114356531923e-05
131584 32.125 3.64003573219175e-05 3.64003739689257e-05 3.64004232909777e-05
132096 32.25 3.73249078713312e-05 3.73249095945413e-05 3.73249345497775e-05
132608 32.375 3.85089482875251e-05 3.85089349721953e-05 3.8508956375058e-05
133120 32.5 3.95529591311085e-05 3.95529340199718e-05 3.95528897942859e-05
133632 32.625 4.10928207720006e-05 4.10928037477963e-05 4.10927525730908e-05
134144 32.75 4.10159132796873e-05 4.10158894448978e-05 4.10158110610683e-05
134656 32.875 3.97491426983741e-05 3.97491575617116e-05 3.97490573344376e-05
135168 33 3.73944227184987e-05 3.73944018466355e-05 3.73942707649158e-05
135680 33.125 3.34825852452372e-05 3.34825486563827e-05 3.3482432611137e-05
136192 33.25 2.884144505815e-05 2.88414603899101e-05 2.88414140452001e-05
136704 33.375 2.76733928592367e-05 2.76733184080077e-05 2.7673259112304e-05
137216 33.5 2.69940776589429e-05 2.69939832947869e-05 2.69938877942471e-05
137728 33.625 2.53170218767908e-05 2.53169357766565e-05 2.53168652844986e-05
138240 33.75 2.3013919172307e-05 2.30138767839413e-05 2.30138598461079e-05
138752 33.875 2.04975812172187e-05 2.0497598782771e-05 2.04976148914763e-05
139264 34 1.88263869339563e-05 1.88264113880239e-05 1.88263442089015e-05
139776 34.125 1.94324772215816e-05 1.94324977705384e-05 1.9432509062001e-05
140288 34.25 1.95645957876085e-05 1.95646155977659e-05 1.95646181854903e-05
140800 34.375 1.99516086509576e-05 1.99515976417075e-05 1.99514892349613e-05
141312 34.5 2.09556126578038e-05 2.09555291087799e-05 2.09556949089519e-05
