# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::w_lorentz (hydrobase-w_lorentz)
# 1:iteration 2:time 3:data
# data columns: 3:w_lorentz
488448 119.25 1
488960 119.375 1
489472 119.5 1
489984 119.625 1
490496 119.75 1
491008 119.875 1
491520 120 1
492032 120.125 1
492544 120.25 1
493056 120.375 1
493568 120.5 1
494080 120.625 1
494592 120.75 1
495104 120.875 1
495616 121 1
496128 121.125 1
496640 121.25 1
497152 121.375 1
497664 121.5 1
498176 121.625 1
498688 121.75 1
499200 121.875 1
499712 122 1
500224 122.125 1
500736 122.25 1
501248 122.375 1
501760 122.5 1
502272 122.625 1
502784 122.75 1
503296 122.875 1
503808 123 1
504320 123.125 1
504832 123.25 1
505344 123.375 1
505856 123.5 1
506368 123.625 1
506880 123.75 1
507392 123.875 1
507904 124 1
508416 124.125 1
508928 124.25 1
509440 124.375 1
509952 124.5 1
510464 124.625 1
510976 124.75 1
511488 124.875 1
512000 125 1
512512 125.125 1
513024 125.25 1
513536 125.375 1
514048 125.5 1
514560 125.625 1
515072 125.75 1
515584 125.875 1
516096 126 1
516608 126.125 1
517120 126.25 1
517632 126.375 1
518144 126.5 1
518656 126.625 1
519168 126.75 1
519680 126.875 1
520192 127 1
520704 127.125 1
521216 127.25 1
521728 127.375 1
522240 127.5 1
522752 127.625 1
523264 127.75 1
523776 127.875 1
524288 128 1
524800 128.125 1
525312 128.25 1
525824 128.375 1
526336 128.5 1
526848 128.625 1
527360 128.75 1
527872 128.875 1
528384 129 1
528896 129.125 1
529408 129.25 1
529920 129.375 1
530432 129.5 1
530944 129.625 1
531456 129.75 1
531968 129.875 1
532480 130 1
532992 130.125 1
533504 130.25 1
534016 130.375 1
534528 130.5 1
535040 130.625 1
535552 130.75 1
536064 130.875 1
536576 131 1
537088 131.125 1
537600 131.25 1
538112 131.375 1
538624 131.5 1
539136 131.625 1
539648 131.75 1
540160 131.875 1
540672 132 1
541184 132.125 1
541696 132.25 1
542208 132.375 1
542720 132.5 1
543232 132.625 1
543744 132.75 1
544256 132.875 1
544768 133 1
545280 133.125 1
545792 133.25 1
546304 133.375 1
546816 133.5 1
547328 133.625 1
547840 133.75 1
548352 133.875 1
548864 134 1
549376 134.125 1
549888 134.25 1
550400 134.375 1
550912 134.5 1
551424 134.625 1
551936 134.75 1
552448 134.875 1
552960 135 1
553472 135.125 1
553984 135.25 1
554496 135.375 1
555008 135.5 1
555520 135.625 1
556032 135.75 1
556544 135.875 1
557056 136 1
557568 136.125 1
558080 136.25 1
558592 136.375 1
559104 136.5 1
559616 136.625 1
560128 136.75 1
560640 136.875 1
561152 137 1
561664 137.125 1
562176 137.25 1
562688 137.375 1
563200 137.5 1
563712 137.625 1
564224 137.75 1
564736 137.875 1
565248 138 1
565760 138.125 1
566272 138.25 1
566784 138.375 1
567296 138.5 1
567808 138.625 1
568320 138.75 1
568832 138.875 1
569344 139 1
569856 139.125 1
570368 139.25 1
570880 139.375 1
571392 139.5 1
571904 139.625 1
572416 139.75 1
572928 139.875 1
573440 140 1
573952 140.125 1
574464 140.25 1
574976 140.375 1
575488 140.5 1
576000 140.625 1
576512 140.75 1
577024 140.875 1
577536 141 1
578048 141.125 1
578560 141.25 1
579072 141.375 1
579584 141.5 1
580096 141.625 1
580608 141.75 1
581120 141.875 1
581632 142 1
582144 142.125 1
582656 142.25 1
583168 142.375 1
583680 142.5 1
584192 142.625 1
584704 142.75 1
585216 142.875 1
585728 143 1
586240 143.125 1
586752 143.25 1
587264 143.375 1
587776 143.5 1
588288 143.625 1
588800 143.75 1
589312 143.875 1
589824 144 1
590336 144.125 1
590848 144.25 1
591360 144.375 1
591872 144.5 1
592384 144.625 1
592896 144.75 1
593408 144.875 1
593920 145 1
594432 145.125 1
594944 145.25 1
595456 145.375 1
595968 145.5 1
596480 145.625 1
596992 145.75 1
597504 145.875 1
598016 146 1
598528 146.125 1
599040 146.25 1
599552 146.375 1
600064 146.5 1
600576 146.625 1
601088 146.75 1
601600 146.875 1
602112 147 1
602624 147.125 1
603136 147.25 1
603648 147.375 1
604160 147.5 1
604672 147.625 1
605184 147.75 1
605696 147.875 1
606208 148 1
606720 148.125 1
607232 148.25 1
607744 148.375 1
608256 148.5 1
608768 148.625 1
609280 148.75 1
609792 148.875 1
610304 149 1
610816 149.125 1
611328 149.25 1
611840 149.375 1
612352 149.5 1
612864 149.625 1
613376 149.75 1
613888 149.875 1
614400 150 1
614912 150.125 1
615424 150.25 1
615936 150.375 1
616448 150.5 1
616960 150.625 1
617472 150.75 1
617984 150.875 1
618496 151 1
619008 151.125 1
619520 151.25 1
620032 151.375 1
620544 151.5 1
621056 151.625 1
621568 151.75 1
622080 151.875 1
622592 152 1
623104 152.125 1
623616 152.25 1
624128 152.375 1
624640 152.5 1
625152 152.625 1
625664 152.75 1
626176 152.875 1
626688 153 1
627200 153.125 1
627712 153.25 1
628224 153.375 1
628736 153.5 1
629248 153.625 1
629760 153.75 1
630272 153.875 1
630784 154 1
631296 154.125 1
631808 154.25 1
632320 154.375 1
632832 154.5 1
633344 154.625 1
633856 154.75 1
634368 154.875 1
634880 155 1
635392 155.125 1
635904 155.25 1
636416 155.375 1
636928 155.5 1
637440 155.625 1
637952 155.75 1
638464 155.875 1
638976 156 1
639488 156.125 1
640000 156.25 1
640512 156.375 1
641024 156.5 1
641536 156.625 1
642048 156.75 1
642560 156.875 1
643072 157 1
643584 157.125 1
644096 157.25 1
644608 157.375 1
645120 157.5 1
645632 157.625 1
646144 157.75 1
646656 157.875 1
647168 158 1
647680 158.125 1
648192 158.25 1
648704 158.375 1
649216 158.5 1
649728 158.625 1
650240 158.75 1
650752 158.875 1
651264 159 1
651776 159.125 1
652288 159.25 1
652800 159.375 1
653312 159.5 1
653824 159.625 1
654336 159.75 1
654848 159.875 1
655360 160 1
655872 160.125 1
656384 160.25 1
656896 160.375 1
657408 160.5 1
657920 160.625 1
658432 160.75 1
658944 160.875 1
659456 161 1
659968 161.125 1
660480 161.25 1
660992 161.375 1
661504 161.5 1
662016 161.625 1
662528 161.75 1
663040 161.875 1
663552 162 1
664064 162.125 1
664576 162.25 1
665088 162.375 1
665600 162.5 1
666112 162.625 1
666624 162.75 1
667136 162.875 1
667648 163 1
668160 163.125 1
668672 163.25 1
669184 163.375 1
669696 163.5 1
670208 163.625 1
670720 163.75 1
671232 163.875 1
671744 164 1
672256 164.125 1
672768 164.25 1
673280 164.375 1
673792 164.5 1
674304 164.625 1
674816 164.75 1
675328 164.875 1
675840 165 1
676352 165.125 1
676864 165.25 1
677376 165.375 1
677888 165.5 1
678400 165.625 1
678912 165.75 1
679424 165.875 1
679936 166 1
680448 166.125 1
680960 166.25 1
681472 166.375 1
681984 166.5 1
682496 166.625 1
683008 166.75 1
683520 166.875 1
684032 167 1
684544 167.125 1
685056 167.25 1
685568 167.375 1
686080 167.5 1
686592 167.625 1
687104 167.75 1
687616 167.875 1
688128 168 1
688640 168.125 1
689152 168.25 1
689664 168.375 1
690176 168.5 1
690688 168.625 1
691200 168.75 1
691712 168.875 1
692224 169 1
692736 169.125 1
693248 169.25 1
693760 169.375 1
694272 169.5 1
694784 169.625 1
695296 169.75 1
695808 169.875 1
696320 170 1
696832 170.125 1
697344 170.25 1
697856 170.375 1
698368 170.5 1
698880 170.625 1
699392 170.75 1
699904 170.875 1
700416 171 1
700928 171.125 1
701440 171.25 1
701952 171.375 1
702464 171.5 1
702976 171.625 1
703488 171.75 1
704000 171.875 1
704512 172 1
705024 172.125 1
705536 172.25 1
706048 172.375 1
706560 172.5 1
707072 172.625 1
707584 172.75 1
708096 172.875 1
708608 173 1
709120 173.125 1
709632 173.25 1
710144 173.375 1
710656 173.5 1
711168 173.625 1
711680 173.75 1
712192 173.875 1
712704 174 1
713216 174.125 1
713728 174.25 1
714240 174.375 1
714752 174.5 1
715264 174.625 1
715776 174.75 1
716288 174.875 1
716800 175 1
717312 175.125 1
717824 175.25 1
718336 175.375 1
718848 175.5 1
719360 175.625 1
719872 175.75 1
720384 175.875 1
720896 176 1
721408 176.125 1
721920 176.25 1
722432 176.375 1
722944 176.5 1
723456 176.625 1
723968 176.75 1
724480 176.875 1
724992 177 1
725504 177.125 1
726016 177.25 1
726528 177.375 1
727040 177.5 1
727552 177.625 1
728064 177.75 1
