# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::M1 (ml_bssn-ml_mom)
# 1:iteration 2:time 3:data
# data columns: 3:M1 4:M2 5:M3
141312 34.5 2.61919516006967e-06 2.61919471180917e-06 2.6191952762893e-06
141824 34.625 2.61678117026838e-06 2.61678074173269e-06 2.61678134453609e-06
142336 34.75 2.61503295132948e-06 2.61503273100398e-06 2.61503289788319e-06
142848 34.875 2.61081143932128e-06 2.61081149099557e-06 2.61081152547825e-06
143360 35 2.60227046126309e-06 2.60227041963938e-06 2.60227045638363e-06
143872 35.125 2.58926848872953e-06 2.58926823628784e-06 2.58926845498058e-06
144384 35.25 2.57205872918992e-06 2.57205821868406e-06 2.57205860535477e-06
144896 35.375 2.55420476524986e-06 2.55420428498072e-06 2.55420466747278e-06
145408 35.5 2.53750172981402e-06 2.53750114721886e-06 2.53750148655107e-06
145920 35.625 2.52270242572994e-06 2.52270190218462e-06 2.52270222425318e-06
146432 35.75 2.50800008796786e-06 2.50799983204495e-06 2.50800001721197e-06
146944 35.875 2.4911694484963e-06 2.49116950984802e-06 2.49116938817192e-06
147456 36 2.4690490797542e-06 2.4690491193137e-06 2.46904924430164e-06
147968 36.125 2.44433580776213e-06 2.44433558330741e-06 2.44433625059224e-06
148480 36.25 2.41570209082289e-06 2.41570130498276e-06 2.41570238752079e-06
148992 36.375 2.38607680846919e-06 2.38607601460545e-06 2.38607631584821e-06
149504 36.5 2.35701292571315e-06 2.35701262709537e-06 2.3570123183398e-06
150016 36.625 2.32932778571151e-06 2.32932788378363e-06 2.32932727427505e-06
150528 36.75 2.3019626340335e-06 2.30196280728035e-06 2.30196279019087e-06
151040 36.875 2.27221588401501e-06 2.27221589361505e-06 2.27221672012267e-06
151552 37 2.23925267130354e-06 2.23925280477924e-06 2.23925362872333e-06
152064 37.125 2.20441697222889e-06 2.20441667861735e-06 2.20441674626357e-06
152576 37.25 2.16918267616436e-06 2.16918203006355e-06 2.16918208356495e-06
153088 37.375 2.13768315106917e-06 2.13768244603997e-06 2.137682450416e-06
153600 37.5 2.1095929682002e-06 2.10959284944385e-06 2.10959317595857e-06
154112 37.625 2.08669459605297e-06 2.08669476075595e-06 2.08669547952591e-06
154624 37.75 2.06580336775157e-06 2.06580395886695e-06 2.0658044933343e-06
155136 37.875 2.04415665650523e-06 2.04415717066586e-06 2.04415748335941e-06
155648 38 2.02357447286345e-06 2.02357479832846e-06 2.02357459238725e-06
156160 38.125 2.00636312639803e-06 2.00636328137352e-06 2.00636275914296e-06
156672 38.25 1.99174017260004e-06 1.99173998987889e-06 1.99173981951993e-06
157184 38.375 1.98007978949414e-06 1.98007961907172e-06 1.98007944200494e-06
157696 38.5 1.97347616516848e-06 1.97347627147833e-06 1.97347600083688e-06
158208 38.625 1.9714431555187e-06 1.97144357404595e-06 1.97144356907046e-06
158720 38.75 1.97244867633046e-06 1.97244866474944e-06 1.97244870891441e-06
159232 38.875 1.9756425151036e-06 1.97564223253883e-06 1.97564187696898e-06
159744 39 1.97771712029899e-06 1.97771693063518e-06 1.97771660319436e-06
