# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::rho (hydrobase-rho)
# 1:iteration 2:time 3:data
# data columns: 3:rho
327168 79.875 0.00205453405033602
327680 80 0.00205226336701369
328192 80.125 0.00204997596593681
328704 80.25 0.00204767403745117
329216 80.375 0.00204535981103198
329728 80.5 0.00204303549952808
330240 80.625 0.00204070326525492
330752 80.75 0.00203836520094027
331264 80.875 0.00203602331201925
331776 81 0.00203367948877176
332288 81.125 0.00203133546479771
332800 81.25 0.00202899277209059
333312 81.375 0.00202665271445845
333824 81.5 0.00202431637193841
334336 81.625 0.00202198462086141
334848 81.75 0.00201965813602125
335360 81.875 0.00201733733674468
335872 82 0.00201502236848349
336384 82.125 0.00201271309150648
336896 82.25 0.00201040910622732
337408 82.375 0.00200810981647581
337920 82.5 0.00200581449453094
338432 82.625 0.00200352231720505
338944 82.75 0.00200123237215387
339456 82.875 0.00199894365830043
339968 83 0.00199665510468639
340480 83.125 0.00199436561370645
340992 83.25 0.00199207418802484
341504 83.375 0.0019897800338251
342016 83.5 0.00198748234579643
342528 83.625 0.00198518028845179
343040 83.75 0.00198287308712902
343552 83.875 0.00198056007166239
344064 84 0.00197824075832086
344576 84.125 0.00197591487864079
345088 84.25 0.00197358237061133
345600 84.375 0.00197124337673645
346112 84.5 0.00196889822661783
346624 84.625 0.0019665474051806
347136 84.75 0.00196419151782394
347648 84.875 0.00196183126806272
348160 85 0.00195946745493936
348672 85.125 0.00195710098026948
349184 85.25 0.00195473284576485
349696 85.375 0.00195236412762675
350208 85.5 0.00194999593420871
350720 85.625 0.0019476293620604
351232 85.75 0.0019452654591382
351744 85.875 0.00194290519465602
352256 86 0.00194054943163223
352768 86.125 0.00193819890377518
353280 86.25 0.00193585420225616
353792 86.375 0.00193351577602504
354304 86.5 0.00193118394269551
354816 86.625 0.00192885889912851
355328 86.75 0.00192654071770917
355840 86.875 0.00192422932171715
356352 87 0.00192192445015222
356864 87.125 0.0019196256364679
357376 87.25 0.0019173322216506
357888 87.375 0.00191504339953789
358400 87.5 0.00191275827029691
358912 87.625 0.00191047587699229
359424 87.75 0.0019081952191277
359936 87.875 0.00190591525570818
360448 88 0.00190363491255523
360960 88.125 0.00190135309792933
361472 88.25 0.00189906872219336
361984 88.375 0.00189678071870921
362496 88.5 0.0018944880681551
363008 88.625 0.00189218982760241
363520 88.75 0.00188988516035237
364032 88.875 0.0018875733588023
364544 89 0.0018852538561501
365056 89.125 0.00188292622960772
365568 89.25 0.0018805902004711
366080 89.375 0.00187824563349669
366592 89.5 0.00187589253316855
367104 89.625 0.00187353103660471
367616 89.75 0.0018711614077635
368128 89.875 0.00186878403497138
368640 90 0.00186639943005187
369152 90.125 0.0018640082315773
369664 90.25 0.00186161120020413
370176 90.375 0.00185920920162446
370688 90.5 0.00185680317314643
371200 90.625 0.00185439409122779
371712 90.75 0.00185198295665882
372224 90.875 0.00184957062719039
372736 91 0.00184715802161181
373248 91.125 0.0018447461645266
373760 91.25 0.00184233604318126
374272 91.375 0.00183992858604979
374784 91.5 0.00183752463921973
375296 91.625 0.00183512495210324
375808 91.75 0.00183273016893695
376320 91.875 0.00183034081882313
376832 92 0.00182795730614078
377344 92.125 0.00182557991133255
377856 92.25 0.00182320880819553
378368 92.375 0.00182084416129964
378880 92.5 0.00181848614673657
379392 92.625 0.00181613472647903
379904 92.75 0.00181378975672852
380416 92.875 0.00181145101280317
380928 93 0.00180911821104923
381440 93.125 0.0018067910385892
381952 93.25 0.00180446917346625
382464 93.375 0.00180215229496878
382976 93.5 0.00179984008331858
383488 93.625 0.001797532238106
384000 93.75 0.00179522850086828
