# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ADMBASE::betax (admbase-shift)
# 1:iteration 2:time 3:data
# data columns: 3:betax 4:betay 5:betaz
115712 28.25 -1.65947744094453e-05 -1.65947743996587e-05 -1.65947744061407e-05
116224 28.375 -1.6470445731026e-05 -1.64704457373107e-05 -1.6470445746859e-05
116736 28.5 -1.63389658089154e-05 -1.63389657774527e-05 -1.63389658008712e-05
117248 28.625 -1.62187845470158e-05 -1.6218784527175e-05 -1.62187845516792e-05
117760 28.75 -1.60893067489239e-05 -1.60893066994183e-05 -1.60893067392265e-05
118272 28.875 -1.59585888683482e-05 -1.59585888412775e-05 -1.59585888705398e-05
118784 29 -1.5829137525467e-05 -1.58291374789944e-05 -1.58291375199006e-05
119296 29.125 -1.56774216288951e-05 -1.5677421599946e-05 -1.56774216260017e-05
119808 29.25 -1.55487532470224e-05 -1.55487532101943e-05 -1.55487532465931e-05
120320 29.375 -1.53988360408628e-05 -1.5398835988913e-05 -1.53988360711711e-05
120832 29.5 -1.52408251589219e-05 -1.52408251573614e-05 -1.52408251875835e-05
121344 29.625 -1.50875078871925e-05 -1.5087507842872e-05 -1.50875079223221e-05
121856 29.75 -1.49324091056242e-05 -1.49324091004568e-05 -1.49324091404603e-05
122368 29.875 -1.47777726219386e-05 -1.47777726677833e-05 -1.47777726509467e-05
122880 30 -1.46265174201795e-05 -1.46265174577465e-05 -1.46265174009786e-05
123392 30.125 -1.44755576335071e-05 -1.44755576615921e-05 -1.447555759952e-05
123904 30.25 -1.43281718551726e-05 -1.43281718848996e-05 -1.43281718116513e-05
124416 30.375 -1.41850837649747e-05 -1.41850838325516e-05 -1.41850837413072e-05
124928 30.5 -1.40459634765241e-05 -1.4045963557965e-05 -1.40459634731128e-05
125440 30.625 -1.39082028802108e-05 -1.39082029690729e-05 -1.39082029055624e-05
125952 30.75 -1.37717922263149e-05 -1.37717923098571e-05 -1.37717922779807e-05
126464 30.875 -1.36394979955733e-05 -1.36394980723856e-05 -1.36394980464531e-05
126976 31 -1.35092861454187e-05 -1.35092862126702e-05 -1.35092861951369e-05
127488 31.125 -1.33797575685447e-05 -1.33797576269487e-05 -1.33797576178464e-05
128000 31.25 -1.32536870341857e-05 -1.3253687082758e-05 -1.32536870635396e-05
128512 31.375 -1.31292841050627e-05 -1.31292841519485e-05 -1.31292841334936e-05
129024 31.5 -1.30065951106767e-05 -1.30065951640745e-05 -1.30065951372689e-05
129536 31.625 -1.2886937705628e-05 -1.28869377655112e-05 -1.28869377281131e-05
130048 31.75 -1.27711878517005e-05 -1.27711879119321e-05 -1.27711878701734e-05
130560 31.875 -1.26595532447007e-05 -1.26595533048076e-05 -1.26595532582464e-05
131072 32 -1.25542378584971e-05 -1.25542379261854e-05 -1.25542378831343e-05
131584 32.125 -1.24537165645978e-05 -1.24537166433791e-05 -1.24537166028839e-05
132096 32.25 -1.23542752090321e-05 -1.23542752892918e-05 -1.23542752530004e-05
132608 32.375 -1.22647425969611e-05 -1.22647426652142e-05 -1.22647426408663e-05
133120 32.5 -1.21766641178252e-05 -1.21766641863003e-05 -1.21766641647921e-05
133632 32.625 -1.20932297992093e-05 -1.20932298459678e-05 -1.20932298316727e-05
134144 32.75 -1.20157046133399e-05 -1.20157046568043e-05 -1.20157046456898e-05
134656 32.875 -1.19355324344194e-05 -1.19355324721341e-05 -1.19355324546941e-05
135168 33 -1.18637115758215e-05 -1.18637116149718e-05 -1.18637116038993e-05
135680 33.125 -1.17800894370081e-05 -1.17800894779831e-05 -1.17800894746983e-05
136192 33.25 -1.17034313743702e-05 -1.17034314081228e-05 -1.1703431402507e-05
136704 33.375 -1.16214281733186e-05 -1.16214282145641e-05 -1.16214282157334e-05
137216 33.5 -1.15375229320569e-05 -1.15375229665853e-05 -1.1537522966627e-05
137728 33.625 -1.14470222114458e-05 -1.14470222423686e-05 -1.14470222474098e-05
138240 33.75 -1.13557793792978e-05 -1.13557794074703e-05 -1.13557794107595e-05
138752 33.875 -1.12676494872872e-05 -1.12676495177827e-05 -1.12676495273547e-05
139264 34 -1.11688127753791e-05 -1.11688128054562e-05 -1.11688128186581e-05
139776 34.125 -1.1065886021448e-05 -1.10658860519813e-05 -1.10658860702915e-05
140288 34.25 -1.09599364540485e-05 -1.09599364858795e-05 -1.09599365061023e-05
140800 34.375 -1.08616315112577e-05 -1.08616315465959e-05 -1.08616315702709e-05
141312 34.5 -1.07486212963553e-05 -1.07486213331294e-05 -1.07486213594716e-05
141824 34.625 -1.06312658418076e-05 -1.06312658845798e-05 -1.06312659088669e-05
142336 34.75 -1.0513681984698e-05 -1.05136820274933e-05 -1.05136820521651e-05
142848 34.875 -1.04036346438711e-05 -1.04036346898704e-05 -1.04036347156706e-05
143360 35 -1.0279330858727e-05 -1.02793309074429e-05 -1.02793309363136e-05
143872 35.125 -1.0183591798306e-05 -1.01835918469124e-05 -1.01835918652445e-05
144384 35.25 -1.00965025071247e-05 -1.00965025563018e-05 -1.00965025718634e-05
144896 35.375 -9.99868125926557e-06 -9.99868130789503e-06 -9.99868132816106e-06
145408 35.5 -9.905853259893e-06 -9.90585330965207e-06 -9.90585332880952e-06
145920 35.625 -9.79942175084803e-06 -9.7994218024012e-06 -9.79942182323333e-06
146432 35.75 -9.70218105829782e-06 -9.70218110871328e-06 -9.70218113439319e-06
146944 35.875 -9.59801793009442e-06 -9.59801797706741e-06 -9.59801800592335e-06
147456 36 -9.52828997578697e-06 -9.52829002321468e-06 -9.52829005486279e-06
147968 36.125 -9.44531446377347e-06 -9.44531451128864e-06 -9.44531454614108e-06
148480 36.25 -9.34955630544352e-06 -9.34955635307398e-06 -9.34955639047884e-06
148992 36.375 -9.24152461648706e-06 -9.24152466458187e-06 -9.24152470315856e-06
