# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# ML_BSSN::H (ml_bssn-ml_ham)
# 1:iteration 2:time 3:data
# data columns: 3:H
647680 158.125 2.97745551242883e-05
648192 158.25 2.97767032311258e-05
648704 158.375 2.97783749593593e-05
649216 158.5 2.97801354428767e-05
649728 158.625 2.97815550524701e-05
650240 158.75 2.97815694468372e-05
650752 158.875 2.97808190065386e-05
651264 159 2.97809039992436e-05
651776 159.125 2.97820410728362e-05
652288 159.25 2.97832590402743e-05
652800 159.375 2.97835959394411e-05
653312 159.5 2.97839723561946e-05
653824 159.625 2.9784607076772e-05
654336 159.75 2.97845928173895e-05
654848 159.875 2.97829424468831e-05
655360 160 2.97808017885514e-05
655872 160.125 2.97795073521685e-05
656384 160.25 2.97791263854533e-05
656896 160.375 2.97783648103125e-05
657408 160.5 2.97767708377913e-05
657920 160.625 2.97753971040415e-05
658432 160.75 2.97742040575133e-05
658944 160.875 2.97722161727257e-05
659456 161 2.97688194520568e-05
659968 161.125 2.97655245534196e-05
660480 161.25 2.97630215340504e-05
660992 161.375 2.97610913457452e-05
661504 161.5 2.97583977565521e-05
662016 161.625 2.97550405122068e-05
662528 161.75 2.9751812746225e-05
663040 161.875 2.97485596391669e-05
663552 162 2.97443577883243e-05
664064 162.125 2.97393247567699e-05
664576 162.25 2.97346930167481e-05
665088 162.375 2.9730829210574e-05
665600 162.5 2.97269801306743e-05
666112 162.625 2.97221977789335e-05
666624 162.75 2.97171072351965e-05
667136 162.875 2.9712112948091e-05
667648 163 2.97068224046369e-05
668160 163.125 2.97004294825232e-05
668672 163.25 2.96937180032527e-05
669184 163.375 2.96877992766275e-05
669696 163.5 2.9682527825155e-05
670208 163.625 2.9676735751313e-05
670720 163.75 2.96700041621653e-05
671232 163.875 2.96631832129725e-05
671744 164 2.96565394931336e-05
672256 164.125 2.96492680023144e-05
672768 164.25 2.96409865558605e-05
673280 164.375 2.96326717973661e-05
673792 164.5 2.96253711015248e-05
674304 164.625 2.96183320841472e-05
