# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# CARPET::physical_time_per_hour (carpet-timing)
# 1:iteration 2:time 3:data
# data columns: 3:physical_time_per_hour 4:current_physical_time_per_hour 5:time_total 6:time_evolution 7:time_computing 8:time_communicating 9:time_io 10:evolution_steps_count 11:local_grid_points_per_second 12:total_grid_points_per_second 13:local_grid_point_updates_count 14:total_grid_point_updates_count 15:local_interior_points_per_second 16:total_interior_points_per_second 17:local_interior_point_updates_count 18:total_interior_point_updates_count 19:io_per_second 20:io_bytes_per_second 21:io_bytes_ascii_per_second 22:io_bytes_binary_per_second 23:io_count 24:io_bytes_count 25:io_bytes_ascii_count 26:io_bytes_binary_count 27:comm_per_second 28:comm_bytes_per_second 29:comm_count 30:comm_bytes_count 31:time_levels 32:current_walltime 33:syncs_count
27136 6.625 90.2275695820524 87.4485813300082 270.325011968613 264.331624031067 259.220787763596 0 11.1231503486633 159 490377.617415786 490377.617415786 129622312 129622312 401665.871002712 401665.871002712 106172992 106172992 275.39069308582 3603790.43696897 8445.16449493427 3595345.27247404 3062 40017509 93989 39923520 0 0 0 0 269.765106678009 1688998604.24852 34133
27648 6.75 90.4158872476372 87.4942081159795 274.751465082169 268.758077144623 263.553421735764 0 11.2174282073975 162 491401.10467799 491401.10467799 132068016 132068016 402504.204336113 402504.204336113 108176256 108176256 275.405256489749 3573734.15712375 8511.30836447404 3565222.84875928 3088 40019036 95516 39923520 0 0 0 0 274.18118262291 1688998608.67498 34772
28160 6.875 90.5963549306092 87.5416833193778 279.183187007904 273.189799070358 267.891020298004 0 11.3285245895386 165 492381.928087135 492381.928087135 134513720 134513720 403307.59191936 403307.59191936 110179520 110179520 275.41215781675 3544079.27443313 8573.55390574624 3535505.72052738 3114 40020547 97027 39923520 0 0 0 0 278.602314949036 1688998613.1067 35411
28672 7 90.7235112082948 87.5911884691447 283.760415077209 277.767027139664 272.298422336578 0 11.539080619812 168 493073.009458159 493073.009458159 136959424 136959424 403873.653238163 403873.653238163 112182784 112182784 278.834585950368 3613817.2425434 8580.2706584671 3605236.97188494 3260 42873742 98542 42775200 0 0 0 0 283.168756246567 1688998617.68393 36050
29184 7.125 90.6246723656244 87.6436820605759 289.028893947601 283.035506010056 277.415374994278 0 11.6327447891235 171 492535.830451771 492535.830451771 139405128 139405128 403433.652581889 403433.652581889 114186048 114186048 282.601682848316 3691815.90630037 8591.19448644361 3683224.71181392 3286 42875186 99986 42775200 0 0 0 0 288.426784992218 1688998622.95241 36689
29696 7.25 90.8323487722929 87.688568715734 293.335952043533 287.342564105988 281.627975225449 0 11.7271385192871 174 493664.530492871 493664.530492871 141850832 141850832 404358.165179953 404358.165179953 116189312 116189312 282.542411161107 3662162.01707633 8652.90404773562 3653509.11302859 3312 42876717 101517 42775200 0 0 0 0 292.723091840744 1688998627.25946 37328
30208 7.375 90.9926140563514 87.7361069085082 297.775311946869 291.781924009323 285.973484754562 0 11.8216497898102 177 494535.555929055 494535.555929055 144296536 144296536 405071.617788851 405071.617788851 118192576 118192576 282.498628871078 3633168.00875984 8712.2949967466 3624455.71376309 3338 42878233 103033 42775200 0 0 0 0 297.152531147003 1688998631.69882 37967
30720 7.5 91.1399274870803 87.7847864149147 302.241154909134 296.247766971588 290.287226200104 0 12.0293035507202 180 495336.18936636 495336.18936636 146742240 146742240 405727.412661063 405727.412661063 120195840 120195840 286.098410258754 3704157.86121854 8730.10058368224 3695427.76063486 3484 45731442 104562 45626880 0 0 0 0 301.607633829117 1688998636.16467 38606
31232 7.625 91.0475721663425 87.8380364812845 307.484128952026 301.490741014481 295.381087303162 0 12.1219537258148 183 494834.247638917 494834.247638917 149187944 149187944 405316.274684969 405316.274684969 122199104 122199104 289.679247722729 3778613.78377473 8744.90917825832 3769868.87459647 3510 45732932 106052 45626880 0 0 0 0 306.840235710144 1688998641.40764 39245
31744 7.75 91.2101837400399 87.8840921270603 311.880284070969 305.886896133423 299.684332847595 0 12.215012550354 186 495718.024919446 495718.024919446 151633648 151633648 406040.172266238 406040.172266238 124202368 124202368 289.604306815442 3749953.9939411 8804.23330934737 3741149.76063175 3536 45734464 107584 45626880 0 0 0 0 311.225947618484 1688998645.8038 39884
