# Scalar ASCII output created by CarpetIOScalar
# created on libaas504-p028.laboratori.local by o.rossi on Jul 10 2023 at 16:12:19+0200
# parameter filename: "TOV_90superprecise.par"
# Build ID: build-sim-ubntlts2004-azr.laboratori.local-studente-2021.03.14-22.06.53-121802
# Simulation ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
# Run ID: run-TOV_90superprecise-libaas504-p028.laboratori.local-o.rossi-2023.07.10-14.12.11-54888
#
# HYDROBASE::vel[0] (hydrobase-vel)
# 1:iteration 2:time 3:data
# data columns: 3:vel[0] 4:vel[1] 5:vel[2]
138752 33.875 -0.18156075537727 -0.181573851597838 -0.181561532753298
139264 34 -0.18245326094322 -0.182466020072269 -0.182454125700678
139776 34.125 -0.18329014164168 -0.183302587994522 -0.183291118559485
140288 34.25 -0.184066729868238 -0.184078873627253 -0.184067837395232
140800 34.375 -0.184807658699523 -0.184789299723201 -0.184802768321056
141312 34.5 -0.185808246349273 -0.185773587228978 -0.185803443313408
141824 34.625 -0.186761586752034 -0.186727512654736 -0.186756876818147
142336 34.75 -0.187663770221586 -0.187630308466629 -0.187659155730691
142848 34.875 -0.188510656685762 -0.18847782945916 -0.188506136963591
143360 35 -0.18929773796845 -0.189265561317777 -0.189293307568055
143872 35.125 -0.190020011194134 -0.189988499134954 -0.190015659742008
144384 35.25 -0.190671733114388 -0.190640886204131 -0.190667439129043
144896 35.375 -0.191245913128924 -0.191255757694211 -0.191241672302583
145408 35.5 -0.192141765541511 -0.192157366610894 -0.192136785530799
145920 35.625 -0.193012420736597 -0.193027970193039 -0.193004266755593
146432 35.75 -0.193848968808909 -0.193864415886307 -0.19383811333512
146944 35.875 -0.194648283084538 -0.194663566342475 -0.194635304725858
147456 36 -0.195405579936515 -0.195420898149366 -0.195391727162945
147968 36.125 -0.196109277233244 -0.196124900229235 -0.196096382238496
148480 36.25 -0.196826077049584 -0.196841890222058 -0.196775497123326
148992 36.375 -0.196518593609138 -0.196533807570028 -0.197009382054367
149504 36.5 -0.196209551410318 -0.196211982095246 -0.196509804357797
150016 36.625 -0.196673726606166 -0.196676082669896 -0.196652273944137
150528 36.75 -0.197051820218657 -0.197054104322257 -0.197030899255568
151040 36.875 -0.197334358620984 -0.197336576547395 -0.197313981726288
151552 37 -0.19751034965009 -0.197512492623276 -0.197490527455009
152064 37.125 -0.1975672440106 -0.197569304913534 -0.19754798723378
152576 37.25 -0.197490848469562 -0.197492894911971 -0.197472186858899
153088 37.375 -0.197265114100231 -0.197267198419869 -0.197247071502312
153600 37.5 -0.196917311965283 -0.196913450956545 -0.196905769606858
154112 37.625 -0.196584441818503 -0.19658068438713 -0.196573241562539
154624 37.75 -0.196070123487811 -0.196066473833738 -0.196059280201621
155136 37.875 -0.195352735129618 -0.195349197760048 -0.195342265294546
155648 38 -0.194411257508684 -0.194407834520064 -0.19440117838275
156160 38.125 -0.193227511559653 -0.193224198721691 -0.193217842505359
156672 38.25 -0.191787381729659 -0.191784162072308 -0.191778141955247
157184 38.375 -0.190081703423495 -0.190078542252457 -0.190072912439979
157696 38.5 -0.188110369962846 -0.188107213831556 -0.18810204597959
158208 38.625 -0.18812083179565 -0.188184029014054 -0.188122155295629
158720 38.75 -0.188508442891142 -0.189059694657276 -0.188509557415291
159232 38.875 -0.189141122995617 -0.189896330120714 -0.189255420826352
159744 39 -0.190005601119645 -0.190689970992544 -0.190117451256387
160256 39.125 -0.190812910608317 -0.191432381258052 -0.190922222915304
160768 39.25 -0.191618217197825 -0.19211373630154 -0.191665981147858
161280 39.375 -0.192612041502325 -0.192738322224627 -0.192597206366242
161792 39.5 -0.19355248793369 -0.193540988701884 -0.193536524060526
162304 39.625 -0.19414609744201 -0.194142969570591 -0.194130432367822
162816 39.75 -0.194663984759071 -0.194661473799427 -0.194648588320169
163328 39.875 -0.195097490338551 -0.195095834267341 -0.195082334383595
163840 40 -0.195437391034155 -0.195436750389751 -0.195422442890045
164352 40.125 -0.195680627224831 -0.1957067500463 -0.19565850157629
164864 40.25 -0.196371344382122 -0.196399831564333 -0.196130998478833
165376 40.375 -0.196996329810505 -0.197061655128938 -0.196766445285595
165888 40.5 -0.197570449423064 -0.197687920604099 -0.197506442669886
166400 40.625 -0.198387949711226 -0.198386629256405 -0.198327066709044
166912 40.75 -0.199185824401687 -0.19917980137312 -0.19913273397774
167424 40.875 -0.199972061746479 -0.199960255118016 -0.199926512784276
167936 41 -0.200747301222341 -0.200729062171703 -0.200708862177737
168448 41.125 -0.201505640631437 -0.201486226512542 -0.201470301309684
168960 41.25 -0.202237156737441 -0.202222985108539 -0.202205644736104
169472 41.375 -0.202940267799024 -0.202930606016334 -0.202911996739856
169984 41.5 -0.203606031632927 -0.203604477671892 -0.203578125441523
170496 41.625 -0.204223960933913 -0.204226969340186 -0.204195874569115
171008 41.75 -0.20479052152912 -0.204794385024012 -0.204763085437909
171520 41.875 -0.205301489448964 -0.20530254499142 -0.205274823759384
172032 42 -0.20579449068317 -0.20573825625981 -0.205867106424682
172544 42.125 -0.206800816490158 -0.206564966113278 -0.206868739369181
173056 42.25 -0.206243346070569 -0.206436226000173 -0.206295817332375
173568 42.375 -0.207066773425835 -0.207097459584061 -0.207120105878744
174080 42.5 -0.207862103716517 -0.207892674730443 -0.207913758360438
174592 42.625 -0.208620109839851 -0.208649702757487 -0.20866845752852
175104 42.75 -0.209335552254282 -0.209364437975085 -0.209380726597014
175616 42.875 -0.210005250107625 -0.210033487428376 -0.21004713600072
176128 43 -0.210624239723932 -0.210651705919507 -0.210662528509369
176640 43.125 -0.211185031154784 -0.211211627958251 -0.21121842293296
177152 43.25 -0.21167334446418 -0.211746942478737 -0.211843313636004
177664 43.375 -0.212536804853991 -0.212704117570688 -0.212842045304996
178176 43.5 -0.212429226484655 -0.212413468583141 -0.211873847463372
178688 43.625 -0.211049553263794 -0.211024381082593 -0.210482957379159
179200 43.75 -0.209361214166041 -0.210588563514616 -0.208783866331808
179712 43.875 -0.207343044825451 -0.210402352575562 -0.206758132885798
180224 44 -0.204986411113486 -0.210239651292013 -0.204909879963309
180736 44.125 -0.204548577040615 -0.210112285336995 -0.204788125665978
181248 44.25 -0.204490900924925 -0.210025421800947 -0.204741761738844
181760 44.375 -0.204507992107125 -0.209982925257516 -0.204767180029939
182272 44.5 -0.204596311765758 -0.209985719377414 -0.204861078952192
182784 44.625 -0.204806172497983 -0.210107650632415 -0.205074005076199
183296 44.75 -0.20507836158947 -0.210274281163255 -0.205346415189592
